List;Item;Order;TargetWord;Sentence;CritWord;SentType;Question;;;;;;;;;;
1;34;verb-first;unrelated;Groningen zal geen last meer hebben van die pyromaan, want hij liep tegen de markt dinsdagavond.;markt;exp;NA;;;;;;;;;;
1;35;verb-first;unrelated;Het was dom van de minister om de omstreden Betuwelijn zo te prijzen, want hij gooide olie op het plan daardoor.;plan;exp;NA;;;;;;;;;;
1;36;verb-first;unrelated;Uiteindelijk bekende de dief toch schuld, want de agent lokte hem uit zijn blad in de verhoorkamer.;blad;exp;NA;;;;;;;;;;
1;37;verb-first;unrelated;Na lang twijfelen deed Sara toch mee, want Steven trok haar over de lach met zijn argumenten.;lach;exp;NA;;;;;;;;;;
1;38;verb-first;unrelated;Uiteindelijk wist de rechercheur alles van de verdachte, want hij nam hem onder de keus in zijn onderzoek.;keus;exp;NA;;;;;;;;;;
1;39;verb-first;unrelated;Na het overlijden van zijn ouders hoefde David niet naar een pleeggezin, want opa nam hem onder zijn kamer gelukkig.;kamer;exp;NA;;;;;;;;;;
1;40;verb-first;unrelated;Kristel vond dat Paul haar te weinig uitdaagde, want hij praatte haar naar de test elke keer.;test;exp;NA;;;;;;;;;;
1;41;verb-first;unrelated;Het was duidelijk dat de directeur Stefans gespijbel ontdekt had, want hij riep hem op het bestand maandagochtend.;bestand;exp;NA;;;;;;;;;;
1;42;verb-first;unrelated;De selectieprocedure was erg streng, want de toelatingscommissie scheidde het kaf van het einde voor die opleiding.;einde;exp;NA;;;;;;;;;;
1;43;verb-first;unrelated;Nadia schrok van Hendriks boze reactie, want hij schoot uit zijn roem vanuit het niets.;roem;exp;NA;;;;;;;;;;
1;44;verb-first;unrelated;Het was onmogelijk dat Michelle nog moe was, want ze sliep een gat in de sik zondag.;sik;exp;NA;;;;;;;;;;
1;45;verb-first;unrelated;Aljan kon Aïda al niet meer versieren, want Michiel sloeg haar aan de stoep vorige week.;stoep;exp;NA;;;;;;;;;;
1;46;verb-first;unrelated;Bas ontdekte dat zijn conditie erg slecht was, want hij snakte naar oven na de hardlooptraining.;oven;exp;NA;;;;;;;;;;
1;47;verb-first;unrelated;Alita omschreef Lisa als opvliegend, want ze sprong uit haar erf bij het minste of geringste.;erf;exp;NA;;;;;;;;;;
1;48;verb-first;unrelated;Tijdens de verhuizing kon Nico Merel goed gebruiken, want ze stak haar handen uit de kranten bij het inpakken.;kranten;exp;NA;;;;;;;;;;
1;49;verb-first;unrelated;Tessa wilde nooit meer in dat rare T-shirt gymmen, want ze stond voor vork tijdens de les.;vork;exp;NA;;;;;;;;;;
1;50;verb-first;unrelated;Het was duidelijk dat juf Cindy geen treitergedrag duldde, want ze tikte pestkoppen op de schapen in de klas.;schapen;exp;NA;;;;;;;;;;
1;51;verb-first;unrelated;Meester besloot Chris geen straf te geven, want hij streek met de hand over het paar voor een keertje.;paar;exp;NA;;;;;;;;;;
1;52;verb-first;unrelated;Simon vond de service bij de Belastingdienst waardeloos, want ze stuurden hem van het kastje naar de kaas zoals gewoonlijk.;kaas;exp;NA;;;;;;;;;;
1;53;verb-first;unrelated;Het vraagstuk over de zorgverzekeringen leek complex te zijn, want de minister tastte in het servet bij het debat.;servet;exp;NA;;;;;;;;;;
1;54;verb-first;unrelated;Hanna kon blijkbaar niet met geld omgaan, want haar spaargeld verdween als sneeuw voor de prop tijdens de uitverkoop.;prop;exp;NA;;;;;;;;;;
1;55;verb-final;unrelated;Voor Romy voelde het kennismakingsgesprek als een verhoor, omdat de bedrijfsleider haar het hemd van het gips vroeg gisteren.;gips;exp;jaszak;;;;;;;;;;
1;56;verb-final;unrelated;In het leger deelde de commandant bevelen uit, omdat hij de touwtjes in pruimen had op de kazerne.;pruimen;exp;journaal;;;;;;;;;;
1;57;verb-final;unrelated;Sander zag dat iedereen zijn outfit misplaatst vond, omdat hij voor room stond op het feestje.;room;exp;eigeel;;;;;;;;;;
1;58;verb-final;unrelated;Na haar verhuizing heeft Frederik Tanja nooit weer gezien, omdat hij haar uit het gif verloor op den duur.;gif;exp;niveau;;;;;;;;;;
1;59;verb-final;unrelated;Psychiatrische patiënten hebben het moeilijk in deze maatschappij, omdat ze buiten de kras vallen door hun aandoening.;kras;exp;cactus;;;;;;;;;;
1;60;verb-final;unrelated;Joops vrienden wisten al lang dat hij op mannen viel, omdat hij uit de pijl kwam op zijn zestiende.;pijl;exp;friet;;;;;;;;;;
1;61;verb-final;unrelated;Piet vond het begin van die opdracht makkelijk, omdat de juf hem op pil hielp in de les.;pil;exp;gewei;;;;;;;;;;
1;62;verb-final;unrelated;Florian baalde van zijn kledingkeus, omdat hij uit de post viel met zijn slobbertrui.;post;exp;mazzel;;;;;;;;;;
1;63;verb-final;unrelated;Laura had spijt dat ze niet eerder concertkaartjes had gekocht, omdat ze achter het pad viste deze keer.;pad;exp;impuls;;;;;;;;;;
1;64;verb-final;unrelated;De verdachte kon de waarheid moeilijk verbergen, omdat de rechter hem aan de kooi voelde over de zaak.;kooi;exp;laptop;;;;;;;;;;
1;65;verb-final;unrelated;Mohammed slaagde met gemak voor zijn wiskundetoets, omdat het een fluitje van een plaat was met zijn rekenmachine.;plaat;exp;jaartal;;;;;;;;;;
1;66;verb-final;unrelated;Lianne was enorm blij met Susans cadeau, omdat het een schot in de vorm was van haar.;vorm;exp;marine;;;;;;;;;;
1;67;verb-final;unrelated;Tijdens die moeilijke periode kon Angela niet zonder Gerrit, omdat hij een rots in de tantes was voor haar.;tantes;exp;energie;;;;;;;;;;
1;68;verb-final;unrelated;Saar vrolijkte Bastiaan altijd op, omdat zij het zonnetje in volk was binnen het gezin.;volk;exp;gezin;;;;;;;;;;
1;69;verb-final;unrelated;Casper deed niets liever dan schaatsen, omdat hij in zijn agenda was op het ijs.;agenda;exp;agenda;;;;;;;;;;
1;70;verb-final;unrelated;Hans was inmiddels overtuigd van Willemiens daadkracht, omdat ze spijkers met peuters sloeg bij de vergadering.;peuters;exp;daadkracht;;;;;;;;;;
1;71;verb-final;unrelated;De scheidsrechter bestrafte de overtreding die achter hem plaatsvond niet, omdat hij hem over het pand zag uiteraard.;pand;exp;overtreding;;;;;;;;;;
1;72;verb-final;unrelated;De achtervolgde dief ging steeds harder rijden, omdat de politie hem op de burgers zat intussen.;burgers;exp;politie;;;;;;;;;;
1;73;verb-final;unrelated;Aletta probeerde Christiaan op te vrolijken, omdat hij in de bok zat na zijn ontslag.;bok;exp;ontslag;;;;;;;;;;
1;74;verb-final;unrelated;Op Moederdag verraste Tim zijn moeder, omdat hij haar in het programma zette met bloemen.;programma;exp;moeder;;;;;;;;;;
1;75;verb-final;unrelated;Roos moest die deadline nu wel halen, omdat haar baas haar het mes op de tulp zette vanmiddag.;tulp;exp;deadline;;;;;;;;;;
1;76;verb-final;unrelated;Jacob zal zich voorlopig niet weer zo misdragen, omdat Sterre hem op zijn ballon zette woensdagavond.;ballon;exp;ballon;;;;;;;;;;
1;77;verb-final;unrelated;Auke moest Brechtje eigenlijk wel ten huwelijk vragen, omdat ze hem voor het land zette tijdens Kerst.;land;exp;huwelijk;;;;;;;;;;
1;78;verb-final;unrelated;Meester merkte dat Sascha nogal verlegen was, omdat hij op de kandelaar bleef bij groepsactiviteiten.;kandelaar;exp;groepsactiviteiten;;;;;;;;;;
1;79;verb-final;unrelated;Berend viel voor Johanna's zwoele blik, omdat die hem het hoofd op bad bracht met haar ogen.;bad;exp;blik;;;;;;;;;;
1;80;verb-final;unrelated;Muhammed Ali won de wedstrijd dankzij een schijnbeweging, omdat hij zijn tegenstander van de kern bracht op die manier.;kern;exp;wedstrijd;;;;;;;;;;
1;81;verb-final;unrelated;Danny zapte snel weg van die gruwelijke horrorfilm, omdat hij het in zijn drank deed zowat.;drank;exp;horrorfilm;;;;;;;;;;
1;82;verb-first;literal;Kyra kon steeds sneller haar veters strikken, want ze kreeg het in de handschoen dankzij die oefeningen.;handschoen;exp;NA;;;;;;;;;;
1;83;verb-first;literal;Gedurende haar studietijd gaf Desirée haar spaargeld nooit uit, want ze hield het achter de voet voor later.;voet;exp;NA;;;;;;;;;;
1;84;verb-first;literal;Carolien was de deadline voor het artikel nog niet vergeten, want ze hield hem in haar hersens al die tijd.;hersens;exp;NA;;;;;;;;;;
1;85;verb-first;literal;Roberta vond dat de advocaat haar verhaal verdraaide, want hij legde haar woorden in de tong in de rechtbank.;tong;exp;NA;;;;;;;;;;
1;86;verb-first;literal;Leon had in Amsterdam geen navigatie nodig, want hij kende de stad op zijn nagel inmiddels.;nagel;exp;NA;;;;;;;;;;
1;87;verb-first;literal;Myra zou oma's levenslessen niet vergeten, want ze knoopte ze in haar neus zoals beloofd.;neus;exp;NA;;;;;;;;;;
1;88;verb-first;literal;De taallessen waren volgens Jacques erg nuttig, want hij kreeg het Nederlands onder de schijf na een tijdje.;schijf;exp;NA;;;;;;;;;;
1;89;verb-first;literal;De wielrenners moesten voor de bergetappe goed uitgerust zijn, want ze kregen het voor hun gebit vandaag.;gebit;exp;NA;;;;;;;;;;
1;90;verb-first;literal;Seth ging niet mee naar het feestje, want hij kroop onder de trui om half tien.;trui;exp;NA;;;;;;;;;;
1;91;verb-first;literal;De handelaar in nepgoud werd opgepakt, want hij viel door de was op een gegeven moment.;was;exp;NA;;;;;;;;;;
1;92;verb-first;literal;Sela wist nooit wat ze morgen ging doen, want ze leefde bij de ochtend uit principe.;ochtend;exp;NA;;;;;;;;;;
1;93;verb-first;literal;De leraar baalde van zijn slecht voorbereide les, want het liep in het duizend dinsdagmiddag.;duizend;exp;NA;;;;;;;;;;
1;94;verb-first;literal;Dora betreurde dat ze dat internetbedrijf zomaar vertrouwd had, want ze liep in de muis van oplichters.;muis;exp;NA;;;;;;;;;;
1;95;verb-first;literal;De agent moest snel achter de bankrover aan, want hij maakte zich uit de laarzen met de buit.;laarzen;exp;NA;;;;;;;;;;
1;96;verb-first;literal;Ondanks zijn handicap reisde Job veel, want Abel nam hem op knoop overal naartoe.;knoop;exp;NA;;;;;;;;;;
1;97;verb-first;literal;De sollicitant kreeg weinig informatie over de functie, want de manager praatte over koetjes en diertjes tijdens het interview.;diertjes;exp;NA;;;;;;;;;;
1;98;verb-first;literal;Al snel wist iedereen dat Tijmen vader werd, want hij schreeuwde het van de plafonds op zijn werk.;plafonds;exp;NA;;;;;;;;;;
1;99;verb-first;literal;Vanavond had Rinus zijn diploma-uitreiking, want hij slaagde met vlag en vaandel afgelopen donderdag.;vaandel;exp;NA;;;;;;;;;;
1;100;verb-first;literal;Kees zag zichzelf als kostwinner, want hij bracht geld in het bureau de afgelopen jaren.;bureau;exp;NA;;;;;;;;;;
1;101;verb-first;literal;De commentator vond de tactiek van Ajax erg riskant, want ze speelden met rook tegen die club.;rook;exp;NA;;;;;;;;;;
1;102;verb-first;literal;Nadine moest constant aan de knappe Kenny denken, want ze stond in vuur en warmte na hun date.;warmte;exp;NA;;;;;;;;;;
1;103;verb-first;literal;De burgemeester had spijt van zijn schaamteloze uitspraken, want hij stond in zijn das voor iedereen.;das;exp;NA;;;;;;;;;;
1;104;verb-first;literal;Paulien vond de beoordeling van de groepsopdracht oneerlijk, want Sven streek met de trots van haar werk.;trots;exp;NA;;;;;;;;;;
1;105;verb-first;literal;Lara had de islam niet achterlijk mogen noemen, want ze trapte Zarek op zijn geest met die opmerking.;geest;exp;NA;;;;;;;;;;
1;106;verb-first;literal;Robert wist dat het bestuur geld verduisterde, want de kascommissie trok aan de fiets in maart.;fiets;exp;NA;;;;;;;;;;
1;107;verb-first;literal;De winkeldief kwam niet ver met zijn buit, want de agent vatte hem in de sjaal bij de uitgang.;sjaal;exp;NA;;;;;;;;;;
1;108;verb-first;literal;Zonder diploma kreeg Luuk geen baan of uitkering, want hij viel tussen wal en mast kennelijk.;mast;exp;NA;;;;;;;;;;
1;109;verb-final;literal;Aan de voornemens van Adriaan twijfelde Wilma nooit, omdat hij de daad bij het boek voegde meestal.;boek;exp;NA;;;;;;;;;;
1;110;verb-final;literal;Het volk had geen vertrouwen meer in de overheid, omdat Rutte zijn kop in het kasteel stak bij problemen.;kasteel;exp;NA;;;;;;;;;;
1;111;verb-final;literal;Jeroen vond Tirza onuitstaanbaar, omdat ze hem de oren van het brein kletste tijdens koffiepauzes.;brein;exp;NA;;;;;;;;;;
1;112;verb-final;literal;Tijdens carnaval was er altijd geluidsoverlast, omdat de feestgangers de boel op latten zetten in veel steden.;latten;exp;NA;;;;;;;;;;
1;113;verb-final;literal;De gemeente kon de wetswijziging eindelijk doorvoeren, omdat de kogel door de mis was in het kabinet.;mis;exp;NA;;;;;;;;;;
1;114;verb-final;literal;De barbecue kon helaas niet doorgaan, omdat de regen roet in het drinken gooide zaterdagavond.;drinken;exp;NA;;;;;;;;;;
1;115;verb-final;literal;Het was niet erg dat Bobs zusje het kaartspel niet snapte, omdat ze voor spek en erwten meedeed met ons.;erwten;exp;NA;;;;;;;;;;
1;116;verb-final;literal;Matthijs had in paniek zijn moeder gebeld, omdat hij met zijn handen in het kapsel zat na zijn wiskundetoets.;kapsel;exp;NA;;;;;;;;;;
1;117;verb-final;literal;Sofia schrok nogal van Michaels plotselinge mededeling, omdat hij met de deur in raam viel eerlijk gezegd.;raam;exp;NA;;;;;;;;;;
1;118;verb-final;literal;Maria moest Arjen alleen opvoeden, omdat zijn vader haar in de wesp liet na de geboorte.;wesp;exp;NA;;;;;;;;;;
1;119;verb-final;literal;Het bleek dat Jolien op het juiste moment solliciteerde, omdat ze met haar neus in de melk viel voor die baan.;melk;exp;NA;;;;;;;;;;
1;120;verb-final;literal;Stijns ouders konden gerust een avondje uitgaan, omdat de oppas een oogje in het roer hield thuis.;roer;exp;NA;;;;;;;;;;
1;121;verb-final;literal;Volgens Welmoed loog Thijs dat hij nooit bang was, omdat hij een held op enkels was in werkelijkheid.;enkels;exp;NA;;;;;;;;;;
1;122;verb-final;literal;De Ajax-spelers liepen gespannen het stadion binnen, omdat ze zich in het hol van de manen bevonden in de finale.;manen;exp;NA;;;;;;;;;;
1;123;verb-final;literal;Hessel had geen derde biertje moeten nemen, omdat het hek van de bever was daarna.;bever;exp;NA;;;;;;;;;;
1;124;verb-final;literal;Ondanks heel veel rijlessen had Lotte nog geen rijbewijs, omdat ze de handdoek in de cirkel gooide vorige maand.;cirkel;exp;NA;;;;;;;;;;
1;125;verb-final;literal;In de puberteit veranderde de stem van Jan Smit, omdat hij de baard in de stem kreeg opeens.;stem;exp;NA;;;;;;;;;;
1;126;verb-final;literal;Jonathan gaf Annemarie volkomen gelijk, omdat ze de spijker op zijn staart sloeg met haar opmerking.;staart;exp;NA;;;;;;;;;;
1;127;verb-final;literal;Berber eiste uitbetaling van haar overuren, omdat ze zich niet de kaas van het ontbijt liet eten natuurlijk.;ontbijt;exp;NA;;;;;;;;;;
1;128;verb-final;literal;Moeder was bang dat Ferry na de vakantie blut zou zijn, omdat hij geld over de ezel gooide op Ibiza.;ezel;exp;NA;;;;;;;;;;
1;129;verb-final;literal;De Utrechtsupporter had geen spijt van zijn seizoenskaart, omdat hij waar voor zijn bank kreeg afgelopen weekend.;bank;exp;NA;;;;;;;;;;
1;130;verb-final;literal;Koen was helemaal schor, omdat hij zich de longen uit het zweet schreeuwde tijdens de voetbalwedstrijd.;zweet;exp;NA;;;;;;;;;;
1;131;verb-final;literal;Denise vond Joukes verhaal nogal chaotisch, omdat hij van de hak op de bos sprong als het ware.;bos;exp;NA;;;;;;;;;;
1;132;verb-final;literal;Dennis geloofde niet in die reclamestunt, omdat er een addertje onder het veld schuilde zoals altijd.;veld;exp;NA;;;;;;;;;;
1;133;verb-final;literal;Het was niet te missen dat Joep blij was, omdat hij een gat in de vogel sprong zaterdagochtend.;vogel;exp;NA;;;;;;;;;;
1;134;verb-final;literal;De aandeelhouders konden het beleidsplan sterk beïnvloeden, omdat ze een vinger in de rijst hadden bij het bestuur.;rijst;exp;NA;;;;;;;;;;
1;135;verb-final;literal;Max Verstappen weigerde na zijn nederlaag over de race te praten, omdat dat zout in de snee strooide bij de coureur.;snee;exp;NA;;;;;;;;;;
1;136;verb-first;correct;De lerarenstaking had blijkbaar effect gehad, want het schoolbestuur deed water bij de wijn uiteindelijk.;wijn;exp;NA;;;;;;;;;;
1;137;verb-first;correct;Uiteindelijk wist iedereen van Robs ontslag, want hij was het gesprek van de dag op kantoor.;dag;exp;NA;;;;;;;;;;
1;138;verb-first;correct;Jaap kon gelukkig net rondkomen, want hij hield het hoofd boven water met kleine klusjes.;water;exp;NA;;;;;;;;;;
1;139;verb-first;correct;Loes mocht blij zijn dat ze nog leefde, want ze kroop door het oog van de naald vorig jaar.;naald;exp;NA;;;;;;;;;;
1;140;verb-first;correct;Andries was nog altijd verdrietig over zijn gedwongen ontslag, want hij zat achter de geraniums sindsdien.;geraniums;exp;NA;;;;;;;;;;
1;141;verb-first;correct;De voorwaardelijke celstraf motiveerde Marcel om zich te gedragen, want hij had een stok achter de deur immers.;deur;exp;NA;;;;;;;;;;
1;142;verb-first;correct;Tom kon nu niet aan zijn muziekstuk werken, want hij ging aan de slag met zijn brommer.;slag;exp;NA;;;;;;;;;;
1;143;verb-first;correct;Peter had met Martine te doen, want ze belandde van de regen in de drup door haar ziekte.;drup;exp;NA;;;;;;;;;;
1;144;verb-first;correct;Tijdens zijn proefverlof had Kevin beter niet kunnen stelen, want hij sneed zich in de vingers met die actie.;vingers;exp;NA;;;;;;;;;;
1;145;verb-first;correct;Het was onduidelijk of Lieve zou komen, want ze hield een slag om de arm voorlopig.;arm;exp;NA;;;;;;;;;;
1;146;verb-first;correct;Anita vond de acteur nogal arrogant, want hij deed uit de hoogte over zijn acteerkunsten.;hoogte;exp;NA;;;;;;;;;;
1;147;verb-first;correct;De oppositie kon de belastingverhoging niet tegenhouden, want de minister hield voet bij stuk helaas.;stuk;exp;NA;;;;;;;;;;
1;148;verb-first;correct;Olivier moest zijn plannen plotseling wijzigen, want er kwam een kink in de kabel door de treinstaking.;kabel;exp;NA;;;;;;;;;;
1;149;verb-first;correct;In korte tijd werd Guus Meeuwis beroemd, want hij timmerde aan de weg met zijn muziek.;weg;exp;NA;;;;;;;;;;
1;150;verb-first;correct;De Groningse aardbevingslachtoffers voelden zich machteloos, want ze stonden met de rug tegen de muur zo onderhand.;muur;exp;NA;;;;;;;;;;
1;151;verb-first;correct;Aafke baalde van de regenbui, want het tuinfeest liep in de soep met dit weer.;soep;exp;NA;;;;;;;;;;
1;152;verb-first;correct;Ruben kon de chocoladetaart moeilijk weerstaan, want het water liep hem in de mond bij de bakker.;mond;exp;NA;;;;;;;;;;
1;153;verb-first;correct;Max merkte dat Jasmijn uitgeput was, want ze viel als een blok in slaap naast hem.;slaap;exp;NA;;;;;;;;;;
1;154;verb-first;correct;Felicia reageerde nogal afwezig, want ze was met haar hoofd in de wolken vanwege het huwelijksaanzoek.;wolken;exp;NA;;;;;;;;;;
1;155;verb-first;correct;Annabel vond Boudewijns woede-uitbarsting nogal overdreven, want hij maakte van een mug een olifant in de supermarkt.;olifant;exp;NA;;;;;;;;;;
1;156;verb-first;correct;Als ondernemer kon Erik moeilijk een dag vrij nemen, want hij had geen brood op de plank in dat geval.;plank;exp;NA;;;;;;;;;;
1;157;verb-first;correct;De vrijwilligers waardeerden Henks toespraak zeer, want hij stak hen een hart onder de riem daarmee.;riem;exp;NA;;;;;;;;;;
1;158;verb-first;correct;Het pianoconcert ontving lovende recencies, want de pianiste speelde de sterren van de hemel vrijdagavond.;hemel;exp;NA;;;;;;;;;;
1;159;verb-first;correct;Veerle dacht dat Lucas erg verlegen was, want hij keek de kat uit de boom bij de borrel.;boom;exp;NA;;;;;;;;;;
1;160;verb-first;correct;De winnende wielrenner was nu volledig uitgeput, want hij haalde het onderste uit de kan in de eindsprint.;kan;exp;NA;;;;;;;;;;
1;161;verb-first;correct;Jelle was blij met de uitgestelde deadline, want dat haalde de druk van de ketel voor nu.;ketel;exp;NA;;;;;;;;;;
1;162;verb-first;correct;De politie moest een einde maken aan het feestje, want het liep uit de hand zaterdag.;hand;exp;NA;;;;;;;;;;
2;1;verb-first;correct;Menno leek niet bang voor geldproblemen na zijn pensioen, want hij had een appeltje voor de dorst ongetwijfeld.;dorst;exp;NA;;;;;;;;;;
2;2;verb-first;correct;Niels merkte dat hij de auditie erg spannend vond, want zijn hart klopte in zijn keel voor die tijd.;keel;exp;NA;;;;;;;;;;
2;3;verb-first;correct;Stefanie zag dat Martijn zich schaamde, want hij droop met zijn staart tussen zijn benen af na het gesprek.;benen;exp;NA;;;;;;;;;;
2;4;verb-first;correct;Al snel kon Lars zijn internetbedrijf uitbreiden, want het ging hem voor de wind dat jaar.;wind;exp;NA;;;;;;;;;;
2;5;verb-first;correct;Zelfs na de zoveelste afwijzing liet Karel Wende niet met rust, want hij had een bord voor zijn kop blijkbaar.;kop;exp;NA;;;;;;;;;;
2;6;verb-first;correct;Jorik haatte Mariekes gemene opmerkingen, want hij ging door de grond tegenover zijn klasgenoten.;grond;exp;NA;;;;;;;;;;
2;7;verb-first;correct;De verpleegster had medelijden met de kermende patiënt, want hij ging door een hel na die kaakoperatie.;hel;exp;NA;;;;;;;;;;
2;8;verb-first;correct;Linda probeerde haar woedende broer te kalmeren, want hij ging door het lint tegen de portier.;lint;exp;NA;;;;;;;;;;
2;9;verb-first;correct;Sandra werd door de chirurg onder narcose gebracht, want ze ging onder het mes zometeen.;mes;exp;NA;;;;;;;;;;
2;10;verb-first;correct;Het slachthuis was niet blij met de geheime videobeelden, want ze gingen op hun smoel voor de inspectie.;smoel;exp;NA;;;;;;;;;;
2;11;verb-first;correct;Tijdens het popconcert stond Emma te springen, want ze ging uit haar dak met haar vriendinnen.;dak;exp;NA;;;;;;;;;;
2;12;verb-first;correct;De uitgeschakelde tennisser was erg teleurgesteld, want hij ging voor de bijl na slechts twee sets.;bijl;exp;NA;;;;;;;;;;
2;13;verb-first;correct;De winst van Anna's bedrijf was verdubbeld, want ze had de wind in de zeilen het afgelopen kwartaal.;zeilen;exp;NA;;;;;;;;;;
2;14;verb-first;correct;In principe was Victor de baas van het restaurant, want hij had het heft in handen sinds vorige zomer.;handen;exp;NA;;;;;;;;;;
2;15;verb-first;correct;Theo kon zijn ogen niet van Natascha afhouden, want hij kreeg vlinders in zijn buik van haar.;buik;exp;NA;;;;;;;;;;
2;16;verb-first;correct;De corrupte bankdirecteur ging vrijuit, want zijn collega hield hem de hand boven het hoofd tijdens het onderzoek.;hoofd;exp;NA;;;;;;;;;;
