List;Item;Order;Target;Sentence;CritWord; Lg10WF;FreqPerMillion;FREQlemma;;;;;
1;44;verb-first;unrelated;Het was onmogelijk dat Michelle nog moe was, want ze sliep een gat in de sik zondag.;sik; 1.32; 0.46;38;;;;;
1;45;verb-first;unrelated;Aljan kon Aïda al niet meer versieren, want Michiel sloeg haar aan de stoep vorige week.;stoep; 2.53; 7.68;338;;;;;
1;46;verb-first;unrelated;Bas ontdekte dat zijn conditie erg slecht was, want hij snakte naar oven na de hardlooptraining.;oven; 2.64; 9.90;465;;;;;
1;47;verb-first;unrelated;Alita omschreef Lisa als opvliegend, want ze sprong uit haar erf bij het minste of geringste.;erf; 2.04; 2.47;540;;;;;
1;48;verb-first;unrelated;Tijdens de verhuizing kon Nico Merel goed gebruiken, want ze stak haar handen uit de kranten bij het inpakken.;kranten; 2.96; 20.97;3496;;;;;
1;49;verb-first;unrelated;Tessa wilde nooit meer in dat rare T-shirt gymmen, want ze stond voor vork tijdens de les.;vork; 2.36; 5.19;281;;;;;
1;50;verb-first;unrelated;Het was duidelijk dat juf Cindy geen treitergedrag duldde, want ze tikte pestkoppen op de schapen in de klas.;schapen; 2.65; 10.15;753;;;;;
1;51;verb-first;unrelated;Meester besloot Chris geen straf te geven, want hij streek met de hand over het paar voor een keertje.;paar; 4.28; 434.44;19138;;;;;
1;52;verb-first;unrelated;Simon vond de service bij de Belastingdienst waardeloos, want ze stuurden hem van het kastje naar de kaas zoals gewoonlijk.;kaas; 3.00; 22.85;1021;;;;;
1;53;verb-first;unrelated;Het vraagstuk over de zorgverzekeringen leek complex te zijn, want de minister tastte in het kroos bij het debat.;servet;1.90;1.78;160;;;;;
1;54;verb-first;unrelated;Hanna kon blijkbaar niet met geld omgaan, want haar spaargeld verdween als sneeuw voor de prop tijdens de uitverkoop.;prop; 2.02; 2.38;230;;;;;
1;55;verb-final;unrelated;Voor Romy voelde het kennismakingsgesprek als een verhoor, omdat de bedrijfsleider haar het hemd van het gips vroeg gisteren.;gips; 2.02; 2.36;103;;;;;
1;56;verb-final;unrelated;In het leger deelde de commandant bevelen uit, omdat hij de touwtjes in pruimen had op de kazerne.;pruimen; 1.98; 2.17;157;;;;;
1;57;verb-final;unrelated;Sander zag dat iedereen zijn outfit misplaatst vond, omdat hij voor room stond op het feestje.;room; 2.52; 7.59;349;;;;;
1;58;verb-final;unrelated;Na haar verhuizing heeft Frederik Tanja nooit weer gezien, omdat hij haar uit het gif verloor op den duur.;gif; 2.77; 13.56;608;;;;;
1;59;verb-final;unrelated;Psychiatrische patiënten hebben het moeilijk in deze maatschappij, omdat ze buiten de kras vallen door hun aandoening.;kras; 1.98; 2.15;208;;;;;
1;60;verb-final;unrelated;Joops vrienden wisten al lang dat hij op mannen viel, omdat hij uit de pijl kwam op zijn zestiende.;pijl; 2.49; 7.11;503;;;;;
1;61;verb-final;unrelated;Piet vond het begin van die opdracht makkelijk, omdat de juf hem op pil hielp in de les.;pil; 2.61; 9.40;1723;;;;;
1;62;verb-final;unrelated;Florian baalde van zijn kledingkeus, omdat hij uit de post viel met zijn slobbertrui.;post; 3.21; 37.00;1874;;;;;
1;63;verb-final;unrelated;Laura had spijt dat ze niet eerder concertkaartjes had gekocht, omdat ze achter het pad viste deze keer.;pad; 3.26; 41.99;2019;;;;;
1;64;verb-final;unrelated;De verdachte kon de waarheid moeilijk verbergen, omdat de rechter hem aan de kooi voelde over de zaak.;kooi; 2.78; 13.81;723;;;;;
1;65;verb-final;unrelated;Mohammed slaagde met gemak voor zijn wiskundetoets, omdat het een fluitje van een plaat was met zijn rekenmachine.;plaat; 2.78; 13.68;1274;;;;;
1;66;verb-final;unrelated;Lianne was enorm blij met Susans cadeau, omdat het een schot in de vorm was van haar.;vorm; 3.24; 39.47;3607;;;;;
1;67;verb-final;unrelated;Tijdens die moeilijke periode kon Angela niet zonder Gerrit, omdat hij een rots in de tantes was voor haar.;tantes; 2.16; 3.32;2882;;;;;
1;68;verb-final;unrelated;Saar vrolijkte Bastiaan altijd op, omdat zij het zonnetje in volk was binnen het gezin.;volk; 3.50; 71.55;3293;;;;;
1;69;verb-final;unrelated;Casper deed niets liever dan schaatsen, omdat hij in zijn agenda was op het ijs.;agenda; 2.73; 12.21;555;;;;;
1;70;verb-final;unrelated;Hans was inmiddels overtuigd van Willemiens daadkracht, omdat ze spijkers met peuters sloeg bij de vergadering.;peuters; 1.20; 0.34;54;;;;;
1;71;verb-final;unrelated;De scheidsrechter bestrafte de overtreding die achter hem plaatsvond niet, omdat hij hem over het pand zag uiteraard.;pand; 2.41; 5.85;284;;;;;
1;72;verb-final;unrelated;De achtervolgde dief ging steeds harder rijden, omdat de politie hem op de burgers zat intussen.;burgers; 3.06; 26.23;1925;;;;;
1;73;verb-final;unrelated;Aletta probeerde Christiaan op te vrolijken, omdat hij in de bok zat na zijn ontslag.;bok; 1.98; 2.17;111;;;;;
1;74;verb-final;unrelated;Op Moederdag verraste Tim zijn moeder, omdat hij haar in het programma zette met bloemen.;programma; 3.22; 37.96;1886;;;;;
1;75;verb-final;unrelated;Roos moest die deadline nu wel halen, omdat haar baas haar het mes op de tulp zette vanmiddag.;tulp; 1.34; 0.48;54;;;;;
1;76;verb-final;unrelated;Jacob zal zich voorlopig niet weer zo misdragen, omdat Sterre hem op zijn ballon zette woensdagavond.;ballon; 2.37; 5.28;393;;;;;
1;77;verb-final;unrelated;Auke moest Brechtje eigenlijk wel ten huwelijk vragen, omdat ze hem voor het land zette tijdens Kerst.;land; 4.03; 244.00;13227;;;;;
1;78;verb-final;unrelated;Meester merkte dat Sascha nogal verlegen was, omdat hij op de kandelaar bleef bij groepsactiviteiten.;kandelaar; 1.56; 0.80;83;;;;;
1;79;verb-final;unrelated;Berend viel voor Johanna's zwoele blik, omdat die hem het hoofd op bad bracht met haar ogen.;bad; 3.27; 42.58;4677;;;;;
1;80;verb-final;unrelated;Muhammed Ali won de wedstrijd dankzij een schijnbeweging, omdat hij zijn tegenstander van de kern bracht op die manier.;kern; 2.61; 9.26;414;;;;;
1;81;verb-final;unrelated;Danny zapte snel weg van die gruwelijke horrorfilm, omdat hij het in zijn drank deed zowat.;drank; 3.22; 38.26;2229;;;;;
1;82;verb-first;literal;Kyra kon steeds sneller haar veters strikken, want ze kreeg het in de handschoen dankzij die oefeningen.;handschoen; 2.47; 6.68;817;;;;;
1;83;verb-first;literal;Gedurende haar studietijd gaf Desirée haar spaargeld nooit uit, want ze hield het achter de voet voor later.;voet; 3.35; 50.81;4778;;;;;
1;84;verb-first;literal;Carolien was de deadline voor het artikel nog niet vergeten, want ze hield hem in haar hersens al die tijd.;hersens; 3.11; 29.27;1280;;;;;
1;85;verb-first;literal;Roberta vond dat de advocaat haar verhaal verdraaide, want hij legde haar woorden in de tong in de rechtbank.;tong; 3.14; 31.90;1504;;;;;
1;86;verb-first;literal;Leon had in Amsterdam geen navigatie nodig, want hij kende de stad op zijn nagel inmiddels.;nagel; 2.25; 4.05;821;;;;;
1;87;verb-first;literal;Myra zou oma's levenslessen niet vergeten, want ze knoopte ze in haar neus zoals beloofd.;neus; 3.49; 70.04;3208;;;;;
1;88;verb-first;literal;De taallessen waren volgens Jacques erg nuttig, want hij kreeg het Nederlands onder de schijf na een tijdje.;schijf; 2.30; 4.55;289;;;;;
1;89;verb-first;literal;De wielrenners moesten voor de bergetappe goed uitgerust zijn, want ze kregen het voor hun gebit vandaag.;gebit; 2.26; 4.12;189;;;;;
1;90;verb-first;literal;Seth ging niet mee naar het feestje, want hij kroop onder de trui om half tien.;trui; 2.71; 11.62;611;;;;;
1;91;verb-first;literal;De handelaar in nepgoud werd opgepakt, want hij viel door de was op een gegeven moment.;was; 5.37; 5303.09;1891792;;;;;
1;92;verb-first;literal;Sela wist nooit wat ze morgen ging doen, want ze leefde bij de ochtend uit principe.;ochtend; 3.24; 39.54;1768;;;;;
1;93;verb-first;literal;De leraar baalde van zijn slecht voorbereide les, want het liep in het duizend dinsdagmiddag.;duizend; 3.25; 40.36;1781;;;;;
1;94;verb-first;literal;Dora betreurde dat ze dat internetbedrijf zomaar vertrouwd had, want ze liep in de muis van oplichters.;muis; 2.69; 11.14;735;;;;;
1;95;verb-first;literal;De agent moest snel achter de bankrover aan, want hij maakte zich uit de laarzen met de buit.;laarzen; 2.80; 14.54;837;;;;;
1;96;verb-first;literal;Ondanks zijn handicap reisde Job veel, want Abel nam hem op knoop overal naartoe.;knoop; 2.62; 9.51;1028;;;;;
1;97;verb-first;literal;De sollicitant kreeg weinig informatie over de functie, want de manager praatte over koetjes en diertjes tijdens het interview.;diertjes; 1.45; 0.62;3599;;;;;
1;98;verb-first;literal;Al snel wist iedereen dat Tijmen vader werd, want hij schreeuwde het van de plafonds op zijn werk.;plafonds; 1.48; 0.66;404;;;;;
1;99;verb-first;literal;Vanavond had Rinus zijn diploma-uitreiking, want hij slaagde met vlag en vaandel afgelopen donderdag.;vaandel; 1.61; 0.91;62;;;;;
1;100;verb-first;literal;Kees zag zichzelf als kostwinner, want hij bracht geld in het bureau de afgelopen jaren.;bureau; 3.47; 66.93;3016;;;;;
1;101;verb-first;literal;De commentator vond de tactiek van Ajax erg riskant, want ze speelden met rook tegen die club.;rook; 3.31; 46.63;5323;;;;;
1;102;verb-first;literal;Nadine moest constant aan de knappe Kenny denken, want ze stond in vuur en warmte na hun date.;warmte; 2.66; 10.50;459;;;;;
1;103;verb-first;literal;De burgemeester had spijt van zijn schaamteloze uitspraken, want hij stond in zijn das voor iedereen.;das; 2.77; 13.38;633;;;;;
1;104;verb-first;literal;Paulien vond de beoordeling van de groepsopdracht oneerlijk, want Sven streek met de trots van haar werk.;trots; 3.69; 111.46;5117;;;;;
1;105;verb-first;literal;Lara had de islam niet achterlijk mogen noemen, want ze trapte Zarek op zijn geest met die opmerking.;geest; 3.62; 94.97;5468;;;;;
1;106;verb-first;literal;Robert wist dat het bestuur geld verduisterde, want de kascommissie trok aan de fiets in maart.;fiets; 2.98; 21.75;1282;;;;;
1;107;verb-first;literal;De winkeldief kwam niet ver met zijn buit, want de agent vatte hem in de sjaal bij de uitgang.;sjaal; 2.37; 5.31;269;;;;;
1;108;verb-first;literal;Zonder diploma kreeg Luuk geen baan of uitkering, want hij viel tussen wal en mast kennelijk.;mast; 1.96; 2.06;110;;;;;
1;109;verb-final;literal;Aan de voornemens van Adriaan twijfelde Wilma nooit, omdat hij de daad bij het boek voegde meestal.;boek; 3.82; 150.93;10033;;;;;
1;110;verb-final;literal;Het volk had geen vertrouwen meer in de overheid, omdat Rutte zijn kop in het kasteel stak bij problemen.;kasteel; 3.08; 27.60;1270;;;;;
1;111;verb-final;literal;Jeroen vond Tirza onuitstaanbaar, omdat ze hem de oren van het brein kletste tijdens koffiepauzes.;brein; 2.86; 16.63;745;;;;;
1;112;verb-final;literal;Tijdens carnaval was er altijd geluidsoverlast, omdat de feestgangers de boel op latten zetten in veel steden.;latten; 1.08; 0.25;108;;;;;
1;113;verb-final;literal;De gemeente kon de wetswijziging eindelijk doorvoeren, omdat de kogel door de mis was in het kabinet.;mis; 3.98; 219.69;18933;;;;;
1;114;verb-final;literal;De BBQ kon helaas niet doorgaan, omdat de regen roet in het drinken gooide zaterdagavond.;drinken; 3.93; 193.67;15212;;;;;
1;115;verb-final;literal;Het was niet erg dat Bobs zusje het kaartspel niet snapte, omdat ze voor spek en erwten meedeed met ons.;erwten; 1.91; 1.85;140;;;;;
1;116;verb-final;literal;Matthijs had in paniek zijn moeder gebeld, omdat hij met zijn handen in het kapsel zat na zijn wiskundetoets.;kapsel; 2.52; 7.55;362;;;;;
1;117;verb-final;literal;Sofia schrok nogal van Michaels plotselinge mededeling, omdat hij met de deur in raam viel eerlijk gezegd.;raam; 3.49; 70.84;4076;;;;;
1;118;verb-final;literal;Maria moest Arjen alleen opvoeden, omdat zijn vader haar in de wesp liet na de geboorte.;wesp; 1.45; 0.62;41;;;;;
1;119;verb-final;literal;Het bleek dat Jolien op het juiste moment solliciteerde, omdat ze met haar neus in de melk viel voor die baan.;melk; 3.24; 39.70;1875;;;;;
1;120;verb-final;literal;Stijns ouders konden gerust een avondje uitgaan, omdat de oppas een oogje in het roer hield thuis.;roer; 2.53; 7.80;607;;;;;
1;121;verb-final;literal;Volgens Welmoed loog Thijs dat hij nooit bang was, omdat hij een held op enkels was in werkelijkheid.;enkels; 2.20; 3.64;471;;;;;
1;122;verb-final;literal;De Ajax-spelers liepen gespannen het stadion binnen, omdat ze zich in het hol van de manen bevonden in de finale.;manen; 2.08; 2.74;140;;;;;
1;123;verb-final;literal;Hessel had geen derde biertje moeten nemen, omdat het hek van de bever was daarna.;bever; 2.11; 2.93;180;;;;;
1;124;verb-final;literal;Ondanks heel veel rijlessen had Lotte nog geen rijbewijs, omdat ze de handdoek in de cirkel gooide vorige maand.;cirkel; 2.74; 12.44;713;;;;;
1;125;verb-final;literal;In de puberteit veranderde de stem van Jan Smit, omdat hij de baard in de stem kreeg opeens.;stem; 3.58; 86.53;6284;;;;;
1;126;verb-final;literal;Jonathan gaf Annemarie volkomen gelijk, omdat ze de spijker op zijn staart sloeg met haar opmerking.;staart; 2.90; 17.95;1764;;;;;
1;127;verb-final;literal;Berber eiste uitbetaling van haar overuren, omdat ze zich niet de kaas van het ontbijt liet eten natuurlijk.;ontbijt; 3.29; 44.82;2606;;;;;
1;128;verb-final;literal;Moeder was bang dat Ferry na de vakantie blut zou zijn, omdat hij geld over de ezel gooide op Ibiza.;ezel; 2.70; 11.41;656;;;;;
1;129;verb-final;literal;De Utrechtsupporter had geen spijt van zijn seizoenskaart, omdat hij waar voor zijn bank kreeg afgelopen weekend.;bank; 3.60; 91.91;4446;;;;;
1;130;verb-final;literal;Koen was helemaal schor, omdat hij zich de longen uit het zweet schreeuwde tijdens de voetbalwedstrijd.;zweet; 2.75; 12.87;899;;;;;
1;131;verb-final;literal;Denise vond Joukes verhaal nogal chaotisch, omdat hij van de hak op de bos sprong als het ware.;bos; 3.31; 46.51;2787;;;;;
1;132;verb-final;literal;Dennis geloofde niet in die reclamestunt, omdat er een addertje onder het veld schuilde zoals altijd.;veld; 2.84; 15.96;965;;;;;
1;133;verb-final;literal;Het was niet te missen dat Joep blij was, omdat hij een gat in de vogel sprong zaterdagochtend.;vogel; 3.15; 32.27;2838;;;;;
1;134;verb-final;literal;De aandeelhouders konden het beleidsplan sterk beïnvloeden, omdat ze een vinger in de rijst hadden bij het bestuur.;rijst; 2.60; 9.17;562;;;;;
1;135;verb-final;literal;Max Verstappen weigerde na zijn nederlaag over de race te praten, omdat dat zout in de snee strooide bij de coureur.;snee; 2.31; 4.62;3399;;;;;
1;136;verb-first;correct;De lerarenstaking had blijkbaar effect gehad, want het schoolbestuur deed water bij de wijn uiteindelijk.;wijn; 3.42; 60.44;2758;;;;;
1;137;verb-first;correct;Uiteindelijk wist iedereen van Robs ontslag, want hij was het gesprek van de dag op kantoor.;dag; 4.57; 848.56;49822;;;;;
1;138;verb-first;correct;Jaap kon gelukkig net rondkomen, want hij hield het hoofd boven water met kleine klusjes.;water; 4.03; 244.50;11011;;;;;
1;139;verb-first;correct;Loes mocht blij zijn dat ze nog leefde, want ze kroop door het oog van de naald vorig jaar.;naald; 2.57; 8.51;575;;;;;
1;140;verb-first;correct;Andries was nog altijd verdrietig over zijn gedwongen ontslag, want hij zat achter de geraniums sindsdien.;geraniums; 1.18; 0.32;22;;;;;
1;141;verb-first;correct;De voorwaardelijke celstraf motiveerde Marcel om zich te gedragen, want hij had een stok achter de deur immers.;deur; 4.03; 247.48;12260;;;;;
1;142;verb-first;correct;Tom kon nu niet aan zijn muziekstuk werken, want hij ging aan de slag met zijn brommer.;slag; 3.45; 63.94;2853;;;;;
1;143;verb-first;correct;Peter had met Martine te doen, want ze belandde van de regen in de drup door haar ziekte.;drup; 1.49; 0.69;35;;;;;
1;144;verb-first;correct;Tijdens zijn proefverlof had Kevin beter niet kunnen stelen, want hij sneed zich in de vingers met die actie.;vingers; 3.22; 37.96;2966;;;;;
1;145;verb-first;correct;Het was onduidelijk of Lieve zou komen, want ze hield een slag om de arm voorlopig.;arm; 3.54; 79.26;9753;;;;;
1;146;verb-first;correct;Anita vond de acteur nogal arrogant, want hij deed uit de hoogte over zijn acteerkunsten.;hoogte; 2.84; 15.94;770;;;;;
1;147;verb-first;correct;De oppositie kon de belastingverhoging niet tegenhouden, want de minister hield voet bij stuk helaas.;stuk; 3.89; 175.67;9904;;;;;
1;148;verb-first;correct;Olivier moest zijn plannen plotseling wijzigen, want er kwam een kink in de kabel door de treinstaking.;kabel; 2.63; 9.76;581;;;;;
1;149;verb-first;correct;In korte tijd werd Guus Meeuwis beroemd, want hij timmerde aan de weg met zijn muziek.;weg; 4.81; 1481.66;65632;;;;;
1;150;verb-first;correct;De Groningse aardbevingslachtoffers voelden zich machteloos, want ze stonden met de rug tegen de muur zo onderhand.;muur; 3.47; 66.89;4081;;;;;
1;151;verb-first;correct;Aafke baalde van de regenbui, want het tuinfeest liep in de soep met dit weer.;soep; 2.89; 17.84;794;;;;;
1;152;verb-first;correct;Ruben kon de chocoladetaart moeilijk weerstaan, want het water liep hem in de mond bij de bakker.;mond; 3.86; 165.93;7363;;;;;
1;153;verb-first;correct;Max merkte dat Jasmijn uitgeput was, want ze viel als een blok in slaap naast hem.;slaap; 3.69; 112.90;19759;;;;;
1;154;verb-first;correct;Felicia reageerde nogal afwezig, want ze was met haar hoofd in de wolken vanwege het huwelijksaanzoek.;wolken; 2.72; 11.98;762;;;;;
1;155;verb-first;correct;Annabel vond Boudewijns woede-uitbarsting nogal overdreven, want hij maakte van een mug een olifant in de supermarkt.;olifant; 2.72; 12.01;737;;;;;
1;156;verb-first;correct;Als ondernemer kon Erik moeilijk een dag vrij nemen, want hij had geen brood op de plank in dat geval.;plank; 2.69; 11.21;658;;;;;
1;157;verb-first;correct;De vrijwilligers waardeerden Henks toespraak zeer, want hij stak hen een hart onder de riem daarmee.;riem; 2.79; 14.16;897;;;;;
1;158;verb-first;correct;Het pianoconcert ontving lovende recencies, want de pianiste speelde de sterren van de hemel vrijdagavond.;hemel; 3.71; 116.86;5269;;;;;
1;159;verb-first;correct;Veerle dacht dat Lucas erg verlegen was, want hij keek de kat uit de boom bij de borrel.;boom; 3.36; 52.25;3629;;;;;
1;160;verb-first;correct;De winnende wielrenner was nu volledig uitgeput, want hij haalde het onderste uit de kan in de eindsprint.;kan; 5.25; 4025.85;352170;;;;;
1;161;verb-first;correct;Jelle was blij met de uitgestelde deadline, want dat haalde de druk van de ketel voor nu.;ketel; 2.37; 5.28;255;;;;;
1;162;verb-first;correct;De politie moest een einde maken aan het feestje, want het liep uit de hand zaterdag.;hand; 3.94; 199.91;18307;;;;;
2;1;verb-first;correct;Menno leek niet bang voor geldproblemen na zijn pensioen, want hij had een appeltje voor de dorst ongetwijfeld.;dorst; 2.92; 19.14;837;;;;;
2;2;verb-first;correct;Niels merkte dat hij de auditie erg spannend vond, want zijn hart klopte in zijn keel voor die tijd.;keel; 3.08; 27.28;1266;;;;;
2;3;verb-first;correct;Stefanie zag dat Martijn zich schaamde, want hij droop met zijn staart tussen zijn benen af na het gesprek.;benen; 3.47; 67.80;2975;;;;;
2;4;verb-first;correct;Al snel kon Lars zijn internetbedrijf uitbreiden, want het ging hem voor de wind dat jaar.;wind; 3.35; 50.58;2729;;;;;
2;5;verb-first;correct;Zelfs na de zoveelste afwijzing liet Karel Wende niet met rust, want hij had een bord voor zijn kop blijkbaar.;kop; 4.00; 229.23;10653;;;;;
2;6;verb-first;correct;Jorik haatte Mariekes gemene opmerkingen, want hij ging door de grond tegenover zijn klasgenoten.;grond; 3.68; 110.25;4974;;;;;
2;7;verb-first;correct;De verpleegster had medelijden met de kermende patiënt, want hij ging door een hel na die kaakoperatie.;hel; 3.57; 84.04;3679;;;;;
2;8;verb-first;correct;Linda probeerde haar woedende broer te kalmeren, want hij ging door het lint tegen de portier.;lint; 2.54; 7.98;428;;;;;
2;9;verb-first;correct;Sandra werd door de chirurg onder narcose gebracht, want ze ging onder het mes zometeen.;mes; 3.31; 46.24;2412;;;;;
2;10;verb-first;correct;Het slachthuis was niet blij met de geheime videobeelden, want ze gingen op hun smoel voor de inspectie.;smoel; 2.32; 4.73;216;;;;;
2;11;verb-first;correct;Tijdens het popconcert stond Emma te springen, want ze ging uit haar dak met haar vriendinnen.;dak; 3.38; 54.84;2563;;;;;
2;12;verb-first;correct;De uitgeschakelde tennisser was erg teleurgesteld, want hij ging voor de bijl na slechts twee sets.;bijl; 2.61; 9.26;455;;;;;
2;13;verb-first;correct;De winst van Anna's bedrijf was verdubbeld, want ze had de wind in de zeilen het afgelopen kwartaal.;zeilen; 2.61; 9.35;783;;;;;
